Decision Tree,Train Quantity,Test Quantity,Repetition,Accuracy
Original,40,4000,47,0.9495
Original,40,4000,48,0.98075
Original,40,4000,49,0.9045
Original,40,4000,50,0.97275
Original,40,4000,51,0.97
Original,40,4000,52,0.95825
Original,40,4000,53,0.97175
Original,40,4000,54,0.953
Original,40,4000,55,0.975
Original,40,4000,56,0.97075
Original,40,4000,57,0.974
Original,40,4000,58,0.96375
Original,40,4000,59,0.97375
Original,40,4000,60,0.95575
Original,40,4000,61,0.9395
Original,40,4000,62,0.92275
Original,40,4000,63,0.9825
Original,40,4000,64,0.955
Original,40,4000,65,0.942
Original,40,4000,66,0.92775
Original,40,4000,67,0.936
Original,40,4000,68,0.97975
Original,40,4000,69,0.98525
Original,40,4000,70,0.9715
Original,40,4000,71,0.97625
Original,40,4000,72,0.92325
Original,40,4000,73,0.97575
Original,40,4000,74,0.96925
Original,40,4000,75,0.97125
Original,40,4000,76,0.94425
Original,40,4000,77,0.98575
Original,40,4000,78,0.992
Original,40,4000,79,0.95375
Original,40,4000,80,0.956
Original,40,4000,81,0.96975
Original,40,4000,82,0.9625
Original,40,4000,83,0.9485
Original,40,4000,84,0.97475
Original,40,4000,85,0.9805
Original,40,4000,86,0.9375
Original,40,4000,87,0.97175
Original,40,4000,88,0.9455
Original,40,4000,89,0.9175
Original,40,4000,90,0.9665
Original,40,4000,91,0.9835
Original,40,4000,92,0.9795
Original,40,4000,93,0.94475
Original,40,4000,94,0.93925
Original,40,4000,95,0.965
Original,40,4000,96,0.93675
Original,40,4000,97,0.9715
Original,40,4000,98,0.97
Original,40,4000,99,0.95775
Original,40,4000,100,0.976
Original,400,4,1,1
Original,400,4,2,1
Original,400,4,3,1
Original,400,4,4,1
Original,400,4,5,1
Original,400,4,6,1
Original,400,4,7,1
Original,400,4,8,1
Original,400,4,9,1
Original,400,4,10,1
Original,400,4,11,1
Original,400,4,12,1
Original,400,4,13,1
Original,400,4,14,1
Original,400,4,15,1
Original,400,4,16,0.75
Original,400,4,17,1
Original,400,4,18,0.75
Original,400,4,19,0.75
Original,400,4,20,1
Original,400,4,21,1
Original,400,4,22,1
Original,400,4,23,1
Original,400,4,24,1
Original,400,4,25,1
Original,400,4,26,1
Original,400,4,27,1
Original,400,4,28,1
Original,400,4,29,1
Original,400,4,30,1
Original,400,4,31,1
Original,400,4,32,1
Original,400,4,33,1
Original,400,4,34,1
Original,400,4,35,1
Original,400,4,36,1
Original,400,4,37,1
Original,400,4,38,1
Original,400,4,39,1
Original,400,4,40,1
Original,400,4,41,1
Original,400,4,42,1
Original,400,4,43,1
Original,400,4,44,1
Original,400,4,45,1
Original,400,4,46,1
Original,400,4,47,1
Original,400,4,48,1
Original,400,4,49,1
Original,400,4,50,1
Original,400,4,51,1
Original,400,4,52,1
Original,400,4,53,1
Original,400,4,54,1
Original,400,4,55,1
Original,400,4,56,1
Original,400,4,57,1
Original,400,4,58,1
Original,400,4,59,1
Original,400,4,60,1
Original,400,4,61,1
Original,400,4,62,1
Original,400,4,63,1
Original,400,4,64,1
Original,400,4,65,1
Original,400,4,66,1
Original,400,4,67,0.75
Original,400,4,68,1
Original,400,4,69,1
Original,400,4,70,1
Original,400,4,71,1
Original,400,4,72,1
Original,400,4,73,1
Original,400,4,74,1
Original,400,4,75,1
Original,400,4,76,1
Original,400,4,77,1
Original,400,4,78,1
Original,400,4,79,1
Original,400,4,80,1
Original,400,4,81,1
Original,400,4,82,1
Original,400,4,83,1
Original,400,4,84,1
Original,400,4,85,1
Original,400,4,86,1
Original,400,4,87,1
Original,400,4,88,1
Original,400,4,89,1
Original,400,4,90,1
Original,400,4,91,1
Original,400,4,92,1
Original,400,4,93,1
Original,400,4,94,1
Original,400,4,95,1
Original,400,4,96,1
Original,400,4,97,0.75
Original,400,4,98,1
Original,400,4,99,1
Original,400,4,100,1
Original,400,40,1,1
Original,400,40,2,1
Original,400,40,3,0.975
Original,400,40,4,1
Original,400,40,5,1
Original,400,40,6,1
Original,400,40,7,1
Original,400,40,8,1
Original,400,40,9,0.975
Original,400,40,10,1
Original,400,40,11,0.975
Original,400,40,12,0.975
Original,400,40,13,1
Original,400,40,14,1
Original,400,40,15,1
Original,400,40,16,1
Original,400,40,17,1
Original,400,40,18,1
Original,400,40,19,1
Original,400,40,20,0.95
Original,400,40,21,1
Original,400,40,22,1
Original,400,40,23,1
Original,400,40,24,1
Original,400,40,25,1
Original,400,40,26,1
Original,400,40,27,0.975
Original,400,40,28,1
Original,400,40,29,1
Original,400,40,30,1
Original,400,40,31,1
Original,400,40,32,1
Original,400,40,33,1
Original,400,40,34,1
Original,400,40,35,1
Original,400,40,36,1
Original,400,40,37,1
Original,400,40,38,1
Original,400,40,39,1
Original,400,40,40,1
Original,400,40,41,0.975
Original,400,40,42,1
Original,400,40,43,1
Original,400,40,44,1
Original,400,40,45,1
Original,400,40,46,1
Original,400,40,47,1
Original,400,40,48,1
Original,400,40,49,1
Original,400,40,50,1
Original,400,40,51,1
Original,400,40,52,1
Original,400,40,53,0.975
Original,400,40,54,1
Original,400,40,55,1
Original,400,40,56,1
Original,400,40,57,0.975
Original,400,40,58,1
Original,400,40,59,1
Original,400,40,60,1
Original,400,40,61,1
Original,400,40,62,0.975
Original,400,40,63,1
Original,400,40,64,1
Original,400,40,65,0.975
Original,400,40,66,0.975
Original,400,40,67,1
Original,400,40,68,1
Original,400,40,69,1
Original,400,40,70,1
Original,400,40,71,0.975
Original,400,40,72,1
Original,400,40,73,0.975
Original,400,40,74,1
Original,400,40,75,0.975
Original,400,40,76,1
Original,400,40,77,1
Original,400,40,78,0.95
Original,400,40,79,0.975
Original,400,40,80,0.975
Original,400,40,81,1
Original,400,40,82,1
Original,400,40,83,1
Original,400,40,84,1
Original,400,40,85,1
Original,400,40,86,1
Original,400,40,87,1
Original,400,40,88,0.975
Original,400,40,89,1
Original,400,40,90,1
Original,400,40,91,1
Original,400,40,92,1
Original,400,40,93,1
Original,400,40,94,1
Original,400,40,95,1
Original,400,40,96,1
Original,400,40,97,1
Original,400,40,98,1
Original,400,40,99,1
Original,400,40,100,1
Original,400,400,1,0.9925
Original,400,400,2,0.9925
Original,400,400,3,0.9875
Original,400,400,4,1
Original,400,400,5,0.9975
Original,400,400,6,0.99
Original,400,400,7,0.9925
Original,400,400,8,0.9825
Original,400,400,9,0.99
Original,400,400,10,0.9875
Original,400,400,11,0.9975
Original,400,400,12,0.99
Original,400,400,13,0.9875
Original,400,400,14,0.995
Original,400,400,15,0.995
Original,400,400,16,0.9975
Original,400,400,17,0.9975
Original,400,400,18,0.9925
Original,400,400,19,1
Original,400,400,20,0.995
Original,400,400,21,0.9875
Original,400,400,22,0.9975
Original,400,400,23,0.99
Original,400,400,24,0.995
Original,400,400,25,0.9975
Original,400,400,26,1
Original,400,400,27,0.9825
Original,400,400,28,0.995
Original,400,400,29,0.98
Original,400,400,30,0.995
Original,400,400,31,0.995
Original,400,400,32,0.985
Original,400,400,33,0.9975
Original,400,400,34,0.9925
Original,400,400,35,1
Original,400,400,36,0.995
